Brand Name,Screen Size,Discounted Price,Original Price,Discount Percentage,Rating,Supported Apps,OS,Speaker Output,Resolution,Refresh Rate,Product Name
IFFALCON,55.0,43699.0,70990.0,38.0,4.2,Netflix|Disney+Hotstar|Youtube,Android,24 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,iFFALCON by TCL 138.6 cm (55 inch) Ultra HD (4K) LED Smart Android TV
SAMSUNG,65.0,87999.0,116900.0,25.0,4.2,Netflix|Disney+Hotstar|Youtube,Tizen,20 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,SAMSUNG Crystal 4K 163 cm (65 inch) Ultra HD (4K) LED Smart TV
COOCAA,55.0,40499.0,73990.0,45.0,4.3,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,20 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,Coocaa 138 cm (55 inch) Ultra HD (4K) LED Smart Android TV with 10.0 Q
MOTOROLA,55.0,40999.0,61600.0,33.0,4.3,Netflix|Prime Video|Disney+Hotstar|Youtube,Android,30 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,MOTOROLA ZX 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Wireless Gamepad
IFFALCON,55.0,36999.0,106990.0,65.0,4.3,Netflix|Disney+Hotstar|Youtube,Android,30 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,iFFALCON by TCL 138.6 cm (55 inch) Ultra HD (4K) LED Smart Android TV with HandsFree Voice Search
COOCAA,50.0,29999.0,53990.0,44.0,4.2,Netflix|Prime Video|Youtube,Linux,20 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,Coocaa 127 cm (50 inch) Ultra HD (4K) LED Smart TV
SAMSUNG,55.0,59890.0,86900.0,31.0,4.2,Netflix|Disney+Hotstar|Youtube,Tizen,20 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,SAMSUNG 139 cm (55 inch) Ultra HD (4K) LED Smart TV
SAMSUNG,65.0,129999.0,222900.0,42.0,4.3,Netflix|Prime Video|Disney+Hotstar|Youtube,Tizen,40 W,Ultra HD (4K) 3840 x 2160 Pixels,120 Hz Refresh Rate,SAMSUNG The Frame 2021 Series 163 cm (65 inch) QLED Ultra HD (4K) Smart TV
SAMSUNG,55.0,159500.0,244900.0,35.0,4.3,Netflix|Disney+Hotstar|Youtube,Tizen,40 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,SAMSUNG Q Series 138 cm (55 inch) QLED Ultra HD (4K) Smart TV
SAMSUNG,43.0,48990.0,60900.0,20.0,4.1,Netflix|Disney+Hotstar|Youtube,Tizen,20 W,Ultra HD (4K) 3840 x 2160 Pixels,60 Hz Refresh Rate,SAMSUNG 108 cm (43 inch) Ultra HD (4K) LED Smart TV
SAMSUNG,65.0,122299.0,209900.0,42.0,4.9,Netflix|Disney+Hotstar|Youtube,Tizen,20 W,Ultra HD (4K) 3840 x 2160 Pixels,100 Hz Refresh Rate,SAMSUNG Series 7 163 cm (65 inch) Ultra HD (4K) LED Smart TV
SAMSUNG,43.0,45990.0,56900.0,19.0,4.2,Netflix|Disney+Hotstar|Youtube,Tizen,20 W,Ultra HD (4K) 1920 x 1080 Pixels,60 Hz Refresh Rate,SAMSUNG 108 cm (43 inch) Ultra HD (4K) LED Smart TV
